column_name,source,description,data_type,missing_values
ability_control_precision__1_a_2_b_1,onet_abilities.xlsx,O*NET Control Precision; element 1.A.2.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_deductive_reasoning__1_a_1_b_4,onet_abilities.xlsx,O*NET Deductive Reasoning; element 1.A.1.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_depth_perception__1_a_4_a_6,onet_abilities.xlsx,O*NET Depth Perception; element 1.A.4.a.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_dynamic_flexibility__1_a_3_c_2,onet_abilities.xlsx,O*NET Dynamic Flexibility; element 1.A.3.c.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_dynamic_strength__1_a_3_a_3,onet_abilities.xlsx,O*NET Dynamic Strength; element 1.A.3.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_explosive_strength__1_a_3_a_2,onet_abilities.xlsx,O*NET Explosive Strength; element 1.A.3.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_extent_flexibility__1_a_3_c_1,onet_abilities.xlsx,O*NET Extent Flexibility; element 1.A.3.c.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_far_vision__1_a_4_a_2,onet_abilities.xlsx,O*NET Far Vision; element 1.A.4.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_finger_dexterity__1_a_2_a_3,onet_abilities.xlsx,O*NET Finger Dexterity; element 1.A.2.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_flexibility_of_closure__1_a_1_e_2,onet_abilities.xlsx,O*NET Flexibility of Closure; element 1.A.1.e.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_fluency_of_ideas__1_a_1_b_1,onet_abilities.xlsx,O*NET Fluency of Ideas; element 1.A.1.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_glare_sensitivity__1_a_4_a_7,onet_abilities.xlsx,O*NET Glare Sensitivity; element 1.A.4.a.7; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_gross_body_coordination__1_a_3_c_3,onet_abilities.xlsx,O*NET Gross Body Coordination; element 1.A.3.c.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_gross_body_equilibrium__1_a_3_c_4,onet_abilities.xlsx,O*NET Gross Body Equilibrium; element 1.A.3.c.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_hearing_sensitivity__1_a_4_b_1,onet_abilities.xlsx,O*NET Hearing Sensitivity; element 1.A.4.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_inductive_reasoning__1_a_1_b_5,onet_abilities.xlsx,O*NET Inductive Reasoning; element 1.A.1.b.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_information_ordering__1_a_1_b_6,onet_abilities.xlsx,O*NET Information Ordering; element 1.A.1.b.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_manual_dexterity__1_a_2_a_2,onet_abilities.xlsx,O*NET Manual Dexterity; element 1.A.2.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_mathematical_reasoning__1_a_1_c_1,onet_abilities.xlsx,O*NET Mathematical Reasoning; element 1.A.1.c.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_memorization__1_a_1_d_1,onet_abilities.xlsx,O*NET Memorization; element 1.A.1.d.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_multilimb_coordination__1_a_2_b_2,onet_abilities.xlsx,O*NET Multilimb Coordination; element 1.A.2.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_near_vision__1_a_4_a_1,onet_abilities.xlsx,O*NET Near Vision; element 1.A.4.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_night_vision__1_a_4_a_4,onet_abilities.xlsx,O*NET Night Vision; element 1.A.4.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_number_facility__1_a_1_c_2,onet_abilities.xlsx,O*NET Number Facility; element 1.A.1.c.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_oral_comprehension__1_a_1_a_1,onet_abilities.xlsx,O*NET Oral Comprehension; element 1.A.1.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_oral_expression__1_a_1_a_3,onet_abilities.xlsx,O*NET Oral Expression; element 1.A.1.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_originality__1_a_1_b_2,onet_abilities.xlsx,O*NET Originality; element 1.A.1.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_perceptual_speed__1_a_1_e_3,onet_abilities.xlsx,O*NET Perceptual Speed; element 1.A.1.e.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_peripheral_vision__1_a_4_a_5,onet_abilities.xlsx,O*NET Peripheral Vision; element 1.A.4.a.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_problem_sensitivity__1_a_1_b_3,onet_abilities.xlsx,O*NET Problem Sensitivity; element 1.A.1.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_rate_control__1_a_2_b_4,onet_abilities.xlsx,O*NET Rate Control; element 1.A.2.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_reaction_time__1_a_2_c_1,onet_abilities.xlsx,O*NET Reaction Time; element 1.A.2.c.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_response_orientation__1_a_2_b_3,onet_abilities.xlsx,O*NET Response Orientation; element 1.A.2.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_selective_attention__1_a_1_g_1,onet_abilities.xlsx,O*NET Selective Attention; element 1.A.1.g.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_sound_localization__1_a_4_b_3,onet_abilities.xlsx,O*NET Sound Localization; element 1.A.4.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_spatial_orientation__1_a_1_f_1,onet_abilities.xlsx,O*NET Spatial Orientation; element 1.A.1.f.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_speech_clarity__1_a_4_b_5,onet_abilities.xlsx,O*NET Speech Clarity; element 1.A.4.b.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_speech_recognition__1_a_4_b_4,onet_abilities.xlsx,O*NET Speech Recognition; element 1.A.4.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_speed_of_closure__1_a_1_e_1,onet_abilities.xlsx,O*NET Speed of Closure; element 1.A.1.e.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_speed_of_limb_movement__1_a_2_c_3,onet_abilities.xlsx,O*NET Speed of Limb Movement; element 1.A.2.c.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_stamina__1_a_3_b_1,onet_abilities.xlsx,O*NET Stamina; element 1.A.3.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_static_strength__1_a_3_a_1,onet_abilities.xlsx,O*NET Static Strength; element 1.A.3.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_time_sharing__1_a_1_g_2,onet_abilities.xlsx,O*NET Time Sharing; element 1.A.1.g.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_trunk_strength__1_a_3_a_4,onet_abilities.xlsx,O*NET Trunk Strength; element 1.A.3.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_visual_color_discrimination__1_a_4_a_3,onet_abilities.xlsx,O*NET Visual Color Discrimination; element 1.A.4.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_visualization__1_a_1_f_2,onet_abilities.xlsx,O*NET Visualization; element 1.A.1.f.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_wrist_finger_speed__1_a_2_c_2,onet_abilities.xlsx,O*NET Wrist-Finger Speed; element 1.A.2.c.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_written_comprehension__1_a_1_a_2,onet_abilities.xlsx,O*NET Written Comprehension; element 1.A.1.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
ability_written_expression__1_a_1_a_4,onet_abilities.xlsx,O*NET Written Expression; element 1.A.1.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_active_learning__2_a_2_b,onet_essential_skills.xlsx,O*NET Active Learning; element 2.A.2.b; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_active_listening__2_a_1_b,onet_essential_skills.xlsx,O*NET Active Listening; element 2.A.1.b; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_complex_problem_solving__2_b_2_i,onet_transferable_skills.xlsx,O*NET Complex Problem Solving; element 2.B.2.i; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_coordination__2_b_1_b,onet_transferable_skills.xlsx,O*NET Coordination; element 2.B.1.b; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_critical_thinking__2_a_2_a,onet_essential_skills.xlsx,O*NET Critical Thinking; element 2.A.2.a; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_equipment_maintenance__2_b_3_j,onet_transferable_skills.xlsx,O*NET Equipment Maintenance; element 2.B.3.j; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_equipment_selection__2_b_3_c,onet_transferable_skills.xlsx,O*NET Equipment Selection; element 2.B.3.c; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_installation__2_b_3_d,onet_transferable_skills.xlsx,O*NET Installation; element 2.B.3.d; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_instructing__2_b_1_e,onet_transferable_skills.xlsx,O*NET Instructing; element 2.B.1.e; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_judgment_and_decision_making__2_b_4_e,onet_transferable_skills.xlsx,O*NET Judgment and Decision Making; element 2.B.4.e; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_learning_strategies__2_a_2_c,onet_essential_skills.xlsx,O*NET Learning Strategies; element 2.A.2.c; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_management_of_financial_resources__2_b_5_b,onet_transferable_skills.xlsx,O*NET Management of Financial Resources; element 2.B.5.b; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_management_of_material_resources__2_b_5_c,onet_transferable_skills.xlsx,O*NET Management of Material Resources; element 2.B.5.c; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_management_of_personnel_resources__2_b_5_d,onet_transferable_skills.xlsx,O*NET Management of Personnel Resources; element 2.B.5.d; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_mathematics__2_a_1_e,onet_essential_skills.xlsx,O*NET Mathematics; element 2.A.1.e; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_monitoring__2_a_2_d,onet_essential_skills.xlsx,O*NET Monitoring; element 2.A.2.d; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_negotiation__2_b_1_d,onet_transferable_skills.xlsx,O*NET Negotiation; element 2.B.1.d; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_operation_and_control__2_b_3_h,onet_transferable_skills.xlsx,O*NET Operation and Control; element 2.B.3.h; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_operations_analysis__2_b_3_a,onet_transferable_skills.xlsx,O*NET Operations Analysis; element 2.B.3.a; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_operations_monitoring__2_b_3_g,onet_transferable_skills.xlsx,O*NET Operations Monitoring; element 2.B.3.g; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_persuasion__2_b_1_c,onet_transferable_skills.xlsx,O*NET Persuasion; element 2.B.1.c; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_programming__2_b_3_e,onet_transferable_skills.xlsx,O*NET Programming; element 2.B.3.e; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_quality_control_analysis__2_b_3_m,onet_transferable_skills.xlsx,O*NET Quality Control Analysis; element 2.B.3.m; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_reading_comprehension__2_a_1_a,onet_essential_skills.xlsx,O*NET Reading Comprehension; element 2.A.1.a; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_repairing__2_b_3_l,onet_transferable_skills.xlsx,O*NET Repairing; element 2.B.3.l; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_science__2_a_1_f,onet_essential_skills.xlsx,O*NET Science; element 2.A.1.f; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_service_orientation__2_b_1_f,onet_transferable_skills.xlsx,O*NET Service Orientation; element 2.B.1.f; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_social_perceptiveness__2_b_1_a,onet_transferable_skills.xlsx,O*NET Social Perceptiveness; element 2.B.1.a; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_speaking__2_a_1_d,onet_essential_skills.xlsx,O*NET Speaking; element 2.A.1.d; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_systems_analysis__2_b_4_g,onet_transferable_skills.xlsx,O*NET Systems Analysis; element 2.B.4.g; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_systems_evaluation__2_b_4_h,onet_transferable_skills.xlsx,O*NET Systems Evaluation; element 2.B.4.h; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_technology_design__2_b_3_b,onet_transferable_skills.xlsx,O*NET Technology Design; element 2.B.3.b; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_time_management__2_b_5_a,onet_transferable_skills.xlsx,O*NET Time Management; element 2.B.5.a; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_troubleshooting__2_b_3_k,onet_transferable_skills.xlsx,O*NET Troubleshooting; element 2.B.3.k; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
skill_writing__2_a_1_c,onet_essential_skills.xlsx,O*NET Writing; element 2.A.1.c; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_analyzing_data_or_information__4_a_2_a_4,onet_work_activities.xlsx,O*NET Analyzing Data or Information; element 4.A.2.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_assisting_and_caring_for_others__4_a_4_a_5,onet_work_activities.xlsx,O*NET Assisting and Caring for Others; element 4.A.4.a.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_coaching_and_developing_others__4_a_4_b_5,onet_work_activities.xlsx,O*NET Coaching and Developing Others; element 4.A.4.b.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_communicating_with_people_outside_the_organization__4_a_4_a_3,onet_work_activities.xlsx,O*NET Communicating with People Outside the Organization; element 4.A.4.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_communicating_with_supervisors_peers_or_subordinates__4_a_4_a_2,onet_work_activities.xlsx,"O*NET Communicating with Supervisors, Peers, or Subordinates; element 4.A.4.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_controlling_machines_and_processes__4_a_3_a_3,onet_work_activities.xlsx,O*NET Controlling Machines and Processes; element 4.A.3.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_coordinating_the_work_and_activities_of_others__4_a_4_b_1,onet_work_activities.xlsx,O*NET Coordinating the Work and Activities of Others; element 4.A.4.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_developing_and_building_teams__4_a_4_b_2,onet_work_activities.xlsx,O*NET Developing and Building Teams; element 4.A.4.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_developing_objectives_and_strategies__4_a_2_b_4,onet_work_activities.xlsx,O*NET Developing Objectives and Strategies; element 4.A.2.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_documenting_recording_information__4_a_3_b_6,onet_work_activities.xlsx,O*NET Documenting/Recording Information; element 4.A.3.b.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_drafting_laying_out_and_specifying_technical_devices_parts_and_equipment__4_a_3_b_2,onet_work_activities.xlsx,"O*NET Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; element 4.A.3.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_establishing_and_maintaining_interpersonal_relationships__4_a_4_a_4,onet_work_activities.xlsx,O*NET Establishing and Maintaining Interpersonal Relationships; element 4.A.4.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_estimating_the_quantifiable_characteristics_of_products_events_or_information__4_a_1_b_3,onet_work_activities.xlsx,"O*NET Estimating the Quantifiable Characteristics of Products, Events, or Information; element 4.A.1.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_evaluating_information_to_determine_compliance_with_standards__4_a_2_a_3,onet_work_activities.xlsx,O*NET Evaluating Information to Determine Compliance with Standards; element 4.A.2.a.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_getting_information__4_a_1_a_1,onet_work_activities.xlsx,O*NET Getting Information; element 4.A.1.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_guiding_directing_and_motivating_subordinates__4_a_4_b_4,onet_work_activities.xlsx,"O*NET Guiding, Directing, and Motivating Subordinates; element 4.A.4.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_handling_and_moving_objects__4_a_3_a_2,onet_work_activities.xlsx,O*NET Handling and Moving Objects; element 4.A.3.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_identifying_objects_actions_and_events__4_a_1_b_1,onet_work_activities.xlsx,"O*NET Identifying Objects, Actions, and Events; element 4.A.1.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_inspecting_equipment_structures_or_materials__4_a_1_b_2,onet_work_activities.xlsx,"O*NET Inspecting Equipment, Structures, or Materials; element 4.A.1.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_interpreting_the_meaning_of_information_for_others__4_a_4_a_1,onet_work_activities.xlsx,O*NET Interpreting the Meaning of Information for Others; element 4.A.4.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_judging_the_qualities_of_objects_services_or_people__4_a_2_a_1,onet_work_activities.xlsx,"O*NET Judging the Qualities of Objects, Services, or People; element 4.A.2.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_making_decisions_and_solving_problems__4_a_2_b_1,onet_work_activities.xlsx,O*NET Making Decisions and Solving Problems; element 4.A.2.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_monitoring_and_controlling_resources__4_a_4_c_3,onet_work_activities.xlsx,O*NET Monitoring and Controlling Resources; element 4.A.4.c.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_monitoring_processes_materials_or_surroundings__4_a_1_a_2,onet_work_activities.xlsx,"O*NET Monitoring Processes, Materials, or Surroundings; element 4.A.1.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
